Report Type,Id,Class,Submitted Date,Headline,Year,Season,Month,State,County,Location Details,Nearest Town,Nearest Road,Observed,Also Noticed,Other Witnesses,Other Stories,Time And Conditions,Environment,Follow-Up,Follow-Up Report,Date,Author,Media Source,Source Url,Media Issue,Observed,A & G References
Report,28713,Class B,"Wednesday, January 12, 2011.",Hikers find possible footprints by a cornfield north of Norris,2009,Summer,September,Illinois,Fulton,,Norris,Illinois Route 78,"I was out hiking with my friend, north of Norris. It is a wooded area with lots of corn fields. As we were walking along this field when my friend called me over to look at what he had found in the mud.",None.,Just myself and my friend.,"Yes, when I was a child we had an experience several miles south of this location.",3 p.m.,Fields and woods.,Follow-up investigation report by BFRO Investigator Stan Courtney,I met with the witness in person and spoke with his friend by phone.In summary:- The footprints were fifteen inches long.- The footprints were six inches wide.- All the toe impressions were visible.- The length between footsteps were larger than any human could step.Although this was next to a field it was by a fairly wooded area along the creek (Middle Fork of Copperas Creek)  and also less than a mile from previous BFRO Report # 28714.,15,,,,,,
Report,28569,Class B,"Wednesday, December 1, 2010.",Wood knock and possible nighttime sighting east of Canton Lake,2008,Winter,December,Illinois,Fulton,Drive east of Canton Lake on E Middle Lake Rd. Turn right onto Wilson Rd and then left onto N. Martin Rd.,Canton,N Martin Rd.,I had been at my camper out past Canton Lake on N. Martin Rd. finishing a sculpture which was my project for the day. It had just gotten dark so I can guess the time.,None,None,"Yes, my friend had a sighting this year.",9 or 10 p.m.,"Near woods, fields",Follow-up investigation report by BFRO Investigator Stan Courtney,"The witness submitted this graphic drawing. He states ""I took a photo of where the sighting occurred, turned it darker and drew the creature in according to what I saw.""I spoke with the witness by telephone.In summary:- The animal was six feet tall.- The animal was thin but still muscular.- The hair color was dark. - It walked slightly leaned over.",27,,,,,,
Report,47649,Class A,"Tuesday, January 13, 2015.",Truck driver has a daylight sighting west of Ellisville,2005,Summer,,Illinois,Fulton,4 Miles west of Ellisville on County Highway 17.,Outside Ellisville west of sand pit.,County Highway 17.,"Ok, I seen this thing, and I loved it. The hair stood up on my head. I told the girl at the scale house because it was about a mile from there. She said she would not be surprised at seeing any thing around there. But that has been a few years now but I cant get that guy out of my mind. About 8 feet tall walking with a long stride crossed the road in front of me, about 100 ft. away. I was driving a dump truck so I got a good look but he went right into very heavy brush, a deep place falling to the north, I was going east. He was brown and hairy. I could tell he knew I was there, but he didn't look my way, just minded his own business. Came from the south pretty open field except for trees along fence by road. Thank you. Can't remember year, maybe 2005.",,Just me,,"About 2 p.m. good light, daylight, clear.",I can show almost exact spot.,Follow-up investigation report by BFRO Investigator Stan Courtney,I spoke with the witness by phone.In summary: He was moving at 45 miles an hour.   As the animal crossed the road it was within about 100 feet of the truck.  The animal was walking with a long stride.  The witness estimated the animal's height at 8 foot. The witness estimated the animal's weight at 400 lbs. The animal's hair was brown in coloring. The witness was unable to see the animal's face. ,,,,,,,
Report,38765,Class B,"Friday, January 4, 2013.",Recollection of possible encounters at a cemetery in the village of Cuba,1999,Summer,,Illinois,Fulton,"Cuba, IL  cemetery, at and near the edge of town",Cuba,IL 97,"Some friends and I used to like to scare ourselves silly so we used to walk out past the graveyard in town late at night sometimes.  We had a couple strange experiences in a short period of time.  The first time, there were four of us.  We were out very late, close to 3 AM.  We were telling stories and trying to scare each other as we walked past the graveyard.  At one point we stopped and were standing around talking when one of us noticed a very large object in one of the trees.  After sitting and looking for a couple minutes we pointed a flashlight at the thing.  We didn't see anything clearly, but we didn't have much time.  It dropped out of the tree, maybe 20' or more.  It had been resting on a particularly large branch up in a very large tree.  It was gone so fast it didn't seem possible.  It took off straight to the patch of woods behind the graveyard.  A few hours later, when the sun came up, we went back to the scene.  I have been a hunter and in and out of the woods my whole life and know a thing or two about tracking.  I found impressions in the grass, very large ones.  I tried to match the stride and wasn't able to come close, neither was my friend who is over 6' tall.   Later one friend helped me measure my stride at a dead run and my height and I was able to use algebra to determine that the creature must have been between 7-9' tall.","We have gone back and tried to see it again, alone, or with others, and have been unable to witness this again.  I cannot say that it was a Sasquatch with any certainty, but it was definitely not normal.  Watching your show on tv made me think of this and it felt report worthy.","Myself and 3 friends on the first occurrence, myself and one friend for the second.","Yes, but unsure of the details.","It was right after I had graduated from high school or the year after, I don't remember know.","Rural town, very small.  Surrounded by patchy woods lakes and gov't property (MSD or Metropolitan Sewage Disposal)  We have the highest deer population in Illinois, possibly the country.  Most people will tell you there are no large predators anywhere near here, but I have personally witnessed 3 mountain lions (2 adults, 1 cub) over the last 10 years.  The area has sustainability for large predatory animals.",Follow-up investigation report by BFRO Investigator Stan Courtney,"Photo showing the extensive fields and woods close to the small village of Cuba, Illinois: I spoke with two of the witnesses, both of whom today are in their early thirties.In summary:- The animal that jumped from the tree was estimated to be eight feet tall and always ran bipedally.- The witnesses were unable to guess a weight other than the animal was huge. - There are street lights in the area and the boys had flashlights with them.- The witnesses were about sixty feet from the animal. ",,,,,,,
Report,31968,Class A,"Monday, January 9, 2012.",Midday observation by young hunters near Glasford,1985,Winter,January,Illinois,Fulton,i really dont know how to give you directions to it it is pretty much in the woods and would really have to show you. and we would have to find out who owns it now and get permission noone nos we seen this back there,Glasford,North Bitner Rd.,my experience happened back in 1985 or 6. a friend of mine his little brother dad and my dog were out hunting. i used to take the dog huntin everything. my friend and i were on a hill looking down into a revine that joined another revine. his brother and dad were on the other side by at about a mile the dog was in between us just going mad barking and kept coming closer to me and my freind. all the sudden we look down where these two revines meet and there is big (little) foot. he looked at us. we looked at him he took two steps and was gone back up the revine he just came out of. i asked my friend if he seen that. he said yes. i asked was it about 4-5 feet tall he said yes. i asked was it covered in hair he said yes. then he said dont tell anyone because they will think we are crazy. i didnt even tell his dad or brother until after he died now im telling everyone. i dont care if u think im crazy i know what i saw. i called i little foot though because it didnt look that t,No,1 and im sorry he died,no. i didnt tell anyone back then,noon and dont remember the lighting,a big wooded area,Follow-up investigation report by BFRO Investigator Stan Courtney,I spoke with the witness by phone. In summary:- The animal was about four to five feet tall.- The animal weighed about 120 to 150 lbs.- Hair coloring was brownish.- The witness was unable to see the face other than being able to tell it was hairy.,,,,,,,
Report,10892,Class A,"Wednesday, March 9, 2005.",Youth has daylight sighting in swampy area near Canton Lake,1980,Spring,April,Illinois,Fulton,Go towards Youth Acres at Canton Lake - come to split in road. Go north to bottom of road. (hill).,Canton,Youth Acres road,"I was at my grandparents. They lived at Canton Lake. I went down to the bottom of the hill, where they lived to smoke. I heard a loud crushing noise to my right. Keep in mind there is a cornfield in that direction, but what I saw was not a cow or bear or anything I could possibly explain. They simply don't stand on two legs. Tall, black, and very foul smelling. It must have been there when I came down the hill, I only saw it after I had been there awhile. I looked, when I heard the rustling. Standing not twenty yards from me, was something I will never forget, nor want to. There was no screaming beast [except for me]; Just a being looking at me!  I did, however notice that this ""being"" was very calm, looking at me. I on the other hand was not calm at all. It made a gesture [raising of arms] that was all I saw. I ran up the hill to my grandparents. My granddad asked me where my bike was - I told him I didn't know.","I found it unusual that the lake (so I thought) smelled very bad that day. Also, all of this did not happen until I settled in for my smoke. It must have been not expecting me.",No witnesses. Although my granddad was very concerned after the fact. I was shaken up pretty good.,"I used to take my grandads dog for walks, when the weather was nice. I had heard howls or something like howls, at night. The dog would go nuts. Once in awhile the neighbors would complain  about dogs getting upset. I on the other hand knew why and just chose to ignore it in my own way.","Afternoon -  2-3 p.m. sunny, no wind, gorgeous day. I had a","To the west is Canton Lake. east is a cornfield. Lakeside is somewhat swampy, to the east is a deep gulley. Part of the field that cant be planted. Small trees line the gulley.",Follow-up investigation report by BFRO Investigator Stan Courtney,"I spoke with the witness by phone.He stated that the animal was six to seven feet tall, always on two feet, with a short neck. It had long arms that were not in the same proportion as a human's. His impression was that it would have weighed over three hundred pounds. The witness also said that its face was pale with a fleshy area around the eyes and nose. He commented on how the animal's face looked somewhat humanlike and appeared to be shocked at his being in the area.  The youth stood and watched the animal for about twenty seconds and then turned and ran back up the hill to his grandparents. ",,,,,,,
Report,28714,Class A,"Wednesday, January 12, 2011.",Memory told of seeing a bigfoot on the side of a road along Middle Branch Creek,1969,Summer,August,Illinois,Fulton,,Norris,Illinois Route 78,Years ago I had a strange experience as a kid. I was ten years old and I remember it was the summer time. My bedtime was 8:30 so I knew this had to have happened later in the evening as I was already in my pajamas. It was dark outside. My ex-brother-in-law had an old pick-up truck that he was always having problems with. He called my mom and asked if she could come get him as he had broken down.,None before this.,"Three, me, my mom and my ex-brother-in-law",None,Around 10 p.m.,Near the creek and some woods.,Follow-up investigation report by BFRO Investigator Stan Courtney,"I spoke with the witness in person and also by phone. The witness' mother is no longer living and he has lost contact with his ex-brother-in-law.In summary:  - The animal was 7 feet tall.- The hair was whitish.- Although the witness said the animal was huge, because of the amount of time that has passed he is unable to estimate a weight. - The witness was unable to see the animal's face.",9,,,,,,
Report,50155,Class B,"Saturday, November 7, 2015.",Memory of seeing something chimp-like in the trees and being chased out of the woods near Brereton,1969,Summer,July,Illinois,Fulton,"Take route 78 north from Canton, IL. In between Norris and Canton is a sign that says Brereton on right. Go straight down road for about a mile and a half and you come to a big hill. The bridge and creek are at the bottom of that hill.",Brereton and Norris,Illinois Route 78,"Was at a creek where I hung out almost every summer with my brothers and friends. Was probably sometime in July,1969. there was a huge tree about 300 ft. from a bridge that went across the creek. Myself and 2 younger brothers were on this bridge on our bikes. I saw something big in that tree 300 ft. away. I kept an eye on it, then I saw something same size as a full grown chimp. About 4 ft. tall, swinging from limb to limb and just playing in the tree. I told my brothers, look at that huge monkey!. We sat and watched it for 5 incredulous minutes. I could't believe my eyes. All of a sudden, I had this incredible over whelming sense of terror. Didn't see anything threatening; just felt terrified. I told my brothers we have to go and right now! I made them follow me and on the way up, my middle brother said go fast! There is a man chasing me. he was in the rear of us. We rode as fast as we could about a half mile home and he said it was a strange hairy man chasing us. I think it was a bigfoot protecting its young in the tree. It just chases us off. I didn't go back to that creek the rest of the summer. Scared me to death.","I never went back there that summer. went back the next year, but no more sightings or anything unusual.",3 witnesses. Myself and 2 younger brothers. I don't think they remember it. They were 10 and 9 at the time,"heard of some rumours of sightings at norris and Canton lake, which this creek connected to both and was in the middle of.","Was in late afternoon. Weather was clear, very good. Excellent vision on clear day","Good size creek back then that leads to Canton Lake. Woodsy, nice creek, could fish in it for small bluegill, catfish. May be dried up now. Very small bridge crosses over it.",Follow-up investigation report by BFRO Investigator Stan Courtney,"I spoke with the witness by phone. His two younger brothers were too young to remember the incident. In summary: What appears to have been a juvenile animal was observed playing in a tree for five minutes. The tree was 300 feet from the three boys.  The animal was 4 foot tall. The animal was dark brown in color. The witness was unable to see the animal's face. As the boys were fleeing the younger brother saw a ""big & hairy man chasing them"".",12,,,,,,
Report,50155,Class B,"Saturday, November 7, 2015.",Memory of seeing something chimp-like in the trees and being chased out of the woods near Brereton,1969,Summer,July,Illinois,Fulton,"Take route 78 north from Canton, IL. In between Norris and Canton is a sign that says Brereton on right. Go straight down road for about a mile and a half and you come to a big hill. The bridge and creek are at the bottom of that hill.",Brereton and Norris,Illinois Route 78,"Was at a creek where I hung out almost every summer with my brothers and friends. Was probably sometime in July,1969. there was a huge tree about 300 ft. from a bridge that went across the creek. Myself and 2 younger brothers were on this bridge on our bikes. I saw something big in that tree 300 ft. away. I kept an eye on it, then I saw something same size as a full grown chimp. About 4 ft. tall, swinging from limb to limb and just playing in the tree. I told my brothers, look at that huge monkey!. We sat and watched it for 5 incredulous minutes. I could't believe my eyes. All of a sudden, I had this incredible over whelming sense of terror. Didn't see anything threatening; just felt terrified. I told my brothers we have to go and right now! I made them follow me and on the way up, my middle brother said go fast! There is a man chasing me. he was in the rear of us. We rode as fast as we could about a half mile home and he said it was a strange hairy man chasing us. I think it was a bigfoot protecting its young in the tree. It just chases us off. I didn't go back to that creek the rest of the summer. Scared me to death.","I never went back there that summer. went back the next year, but no more sightings or anything unusual.",3 witnesses. Myself and 2 younger brothers. I don't think they remember it. They were 10 and 9 at the time,"heard of some rumours of sightings at norris and Canton lake, which this creek connected to both and was in the middle of.","Was in late afternoon. Weather was clear, very good. Excellent vision on clear day","Good size creek back then that leads to Canton Lake. Woodsy, nice creek, could fish in it for small bluegill, catfish. May be dried up now. Very small bridge crosses over it.",Follow-up investigation report by BFRO Investigator Stan Courtney,"I spoke with the witness by phone. His two younger brothers were too young to remember the incident. In summary: What appears to have been a juvenile animal was observed playing in a tree for five minutes. The tree was 300 feet from the three boys.  The animal was 4 foot tall. The animal was dark brown in color. The witness was unable to see the animal's face. As the boys were fleeing the younger brother saw a ""big & hairy man chasing them"".",12,,,,,,
Media Article,434,,"Wednesday, October 23, 1968",The Monster Story,,,,,,,,,,,,,,,,,,F,ulton County Democrat,,The boys got out of the truck and were walking toward the boy when someone or something attached them and knocked them to the ground and each time they tried to get back up were knocked down again.  The boys said whatever it was did not fight with his fists but backhanded them.  At one time the boys did manage to get it down but all at once it knocked them aside with ease.,"During this time the other boy who had been on the ground ran for the truck and locked the doors.  He said he got a fairly good look and it was not too tall, but very stocky built and seemd to be very hairy.  Evidently something scared it away as all at once it was gone.  The boys were not harmed but were quite shaken up.  The incident was turned in to local police authorities.",
Report,28936,Class A,"Wednesday, March 2, 2011.",Daytime sighting by a motorist east of Seneca,2009,Summer,June,Illinois,Grundy,On the north river bottom road  - Old Stage Rd,Seneca,Old Stage Rd,"Ok,  first off, I am not a skeptic nor am I what people consider a loon. After hearing about the investigation a few years ago near Seneca. I found little interest in the story of the DuPont Monster, having lived around this general area most of my life urban legends are just that.",None,Just myself driving.,Some people have been going on recording sessions in recent weeks prior to the most recent sighting from what I have heard they have some good recordings of multiple talking sessions.,"Late afternoon, clear weather.",Semi-wooded partially clear.,Follow-up investigation report by BFRO Investigator Stan Courtney,"I spoke with the witness by telephone.In summary:- The witness was about 100 yards away when he first noticed the animal and was about 50 yards away by time he stopped his vehicle.- The animal had a large gait and took three steps to cross the roadway.- The animal's height was close to 8 foot. - The animal's weight was about 500 lbs. The witness stated that he was a large man himself and he was impressed with how huge the animal was, and especially how thick it was in the torso.- The hair color appeared to be dark.  - After stopping and getting out of his vehicle he could smell a pungent odor similar to a bear and almost like garbage.    - The witness was unable to see the face.    This incident was in the same general area as:Grundy County - Report # 11831andGrundy County - Report # 12439",24th,,,,,,
Report,12439,Class A,"Sunday, August 28, 2005.",Three men have daylight sighting near Seneca,2005,Spring,June,Illinois,Grundy,This is on private land.,Seneca,IL Route 6,"The following phone interview was conducted by Stan Courtney. Because the witnesses do not have Internet access, the information was entered with their permission. The first names of the witnesses have been changed.",Nothing unusual.,"Yes, three all together.",No.,6:30 p.m. Clear and just beginning to cool down from the heat of the day.,Marsh and woodland.,Follow-up investigation report by BFRO Investigator Stan Courtney,"I have visited the site three times with the witnesses and three times later by myself. On my first visit to the site, Tom and I both believed that we were being followed through the woods by a large animal. I visited the site again the next week. John brought along his daughter and all three of us did hear very plainly two vocalizations that sounded like the Ohio howl.The following descriptions of the animals can be added to the report:The first animal: Was about 8 or 9 feet tall and weighed about 600 pounds. Had a stocky build. Was dark brown in color, mottled darker than tree bark. Had no defined neck.The second animal: Was about 6 feet tall and weighed about 400 pounds. Was thinner than the first animal. Was darkish red in color. Appeared to be pointy headed. Had longer arms than a human. Appeared to have real powerful forearms. Had a pungent smell. The witnesses were unable to see any facial features other than a jaw line.The witness John provided the following drawing:I took the following photo to show where the larger animal had been standing:This sighting is across the road from Tom's sighting of June 2, 2005:  BFRO Report # 11831.",10,,,,,,
Report,11831,Class A,"Sunday, June 5, 2005.",Snake hunter has daytime sighting near Seneca,2005,Summer,June,Illinois,Grundy,This is on private land.,Seneca,IL Route 6,"I was just out snake hunting the roads and I saw a spot and thought I would go up and look for some snakes. I heard like a rustling, kind of like something was futher in front of me.  There was a tree line there and it breaks off into an opening. Right outside of the tree line I saw the back half from the waist up of this bigfoot. It turned ever so slightly, it didn't face me, but it turned towards my direction a little bit kind of like it acknowledged me there and then continued to walk off.",A pungent musky old mop smell.,No,,6:30 - 7:00 p.m. starting to get dark.,Marsh and woodland.,Follow-up investigation report by BFRO Investigator Stan Courtney,"I spoke with the witness by phone. On the 11th of June 2005 I visited the site with the witness. The following details can be added to the report:--The animal was between eight and ten feet tall and weighed over 500 pounds.--The witness described the animal as being muscular.--The shoulders were huge being twice the size of a human's. --The hair was auburn, reddish brown, like on an orangutan.--The head appeared to be shaped like a ""cone-head."" ",2,,,,,,
Report,12140,Class A,"Thursday, July 21, 2005.",Two teenagers have sighting east of Seneca,1979,Spring,June,Illinois,Grundy,"East of Seneca, we were pulled off a side road.",Seneca,IL Route 6,"I have told my story to very few people for the fact that all they do is laugh. I saw a bigfoot in the summer of 1979 just east of Seneca. I lived there for about 15 years just north of the river bridge. I was 15 years old at the time and I was coming home from Morris with a friend.  We had pulled off the side of the road. My friend was outside the vehicle when we heard this horrible noise like a shrieking growl and before we knew it we saw a large human-like animal coming towards the car. I began screaming get in the car locked my door and we took off ending up doing about 90 mph fleeing. When I got home I was so terrified, that feeling has never left me. My family that was at my house when I arrived home has ridiculed me to this day and I do not travel that road for any reason any longer.",We heard the loud shrieking growl as the monster came toward our vehicle in large bounding steps.,One other witness who was outside outside the vehicle.,None personally.,Early evening just before dusk and the weather was a nice spring day.,Wooded area.,Follow-up investigation report by BFRO Investigator Stan Courtney,"I spoke with the witness by phone, and visited the site on June 22, 2005. The following details can be added to the report: The witness observed the animal for about fifteen seconds. The animal was about 7 1/2' tall and weighed about 250 lbs. It was stocky with broad shoulders and large arms. The animals hair was dark and scraggly.I took the following photo of the sighting area:This sighting is one half mile east of  BFRO Report # 11911.This sighting is one half mile west of  BFRO Report # 11831.",,,,,,,
Report,2992,Class B,"Tuesday, August 14, 2001.",Unusual vocalizations from Mississippi River bottoms between Hamilton and Warsaw,2001,Spring,May,Illinois,Hancock,Follow Highway 96 threw Hamilton and take a left in front of Keokuk Hamilton Bridge. It is along the river bottoms.,Warsaw,Warsaw Hamilton Road,My wife and I on several nights have heard a sound just like the recordings. On every occasion our dog growls like she is ready to kill someone.,We have heard this thing a few times and i always thought that it was a hurt animal until i came across your website,Me and my wife. We were asleep until we heard the sound and our dog started to bark.,I have heard lots of stories of people out hunting in the area and hearing a panther screech.Alot of people in the area talk about a panther being loose in the area,It always happens around in the early morning hours. It is usually nice out but very dark.,A lot of hardwoods with a creek leading to the Mississippi River.,Follow-up investigation report,"The vocalizations described have an affect on local dogs.Also, many people feel that the sounds are originating from a ""panther"" which might actually constitute a cougar (mountain lion)  or even a bobcat. Due to additional observations that have been privately been described, the actual chance of this being a sasquatch is a distinct possiblity. This is especially noteworthy since vocalization sounds have been compared favorably. The witness and his family have since moved away from the area. Regarding patterns to when the vocalizations are heard,  it seems to be seasonal.  .",May  2001,,,,,,
Report,3521,Class A,"Thursday, December 20, 2001.","Deer hunter sees large hairy black creature that ""plays peekaboo"" near Webster",2000,Fall,November,Illinois,Hancock,Edited,Webster,Fountain Green,"It was a year ago, during deer hunting seaseon (2000)   It was at dusk. When i was going around the outside of the timber I had to go around a point. When I started to go down the other side there it was shaking a tree. It did that for a little bit I stopped to look at it, said some thing to it, then I whent  75 yards further to some open field, saw some deer,  shot at the deer.  I heard it take off running through the timber.",,,,,timber land brushy,,,15,,,,,,
Report,69321,Class B,"Saturday, June 12, 2021.",Possible Sasquatch sighting by camper near Camp Cadiz in Shawnee National Forest,2021,Summer,June,Illinois,Hardin,It happened on a gravel/dirt road near the campground. [Camp Cadiz],Elizabethtown IL,"Cadiz Rd, Elizabethtown IL",Well had a possible sighting today in the Shawnee National Forest... Not by me sadly but my wife!  And believe it or not she's not even a believer!,,Just my wife. I was driving.,No.,"3:00 pm in the afternoon, Sunny,blue sky's",The environment is ig u would say isolated. It's a quite road. Lots of forest of course. Lots of creeks also,Follow-up investigation report by BFRO Investigator Chris Callahan,"I spoke to the witness by phone. This sighting was very brief, no more than a few seconds. The only additional details added were to state the fur was a black/brownish color and the figure was 7.5 to 8 feet tall (the husband of the witness is 6 feet and 1 inch tall and that is how she determined the height estimate). ",13,,,,,,
Report,29165,Class A,"Thursday, April 28, 2011.",Possible observations using thermal imager southeast of Equality,2011,Spring,April,Illinois,Hardin,Shawnee National Forest,Equality,Hwy 142,"The evening of April 15, 2011 I was with fellow BFRO investigator Eric L. and BFRO enthusiast Sam. We were on a trail in the Shawnee National Forest southeast of Equality, IL.  We were using Sam's thermal imaging monocular (L-3 Comm. X200xp ). We had traveled on the trail up a slight incline and occasionally either doing a howl or some whoops. When we got to our point before we decided to turn back. During our return we started getting some return howls four to be exact over about a five minute period. This was confirmed by several others in our camp. Shortly after, on our way back to base camp, I saw a heat signature. This was rather a bright heat source, different from any of the deer heat source we had observed both before and after this. This ""Heat source"" was behind a tree first observed on the left side of the tree. It then disappeared only to reappear on the right side. This continued for about a minute or so and it was playing ""Peek a Boo"" more or less.","Before spotting the heat signature, we had been doing whoops and howls, and we got four return howls heard by multiple people.",two other witnesses,Bfro Investigators have found unusual activity in this area on several occasions in the past.,Close to midnight,"Wooded area, slight hills, rock outcroppings.",Follow-up investigation report by BFRO Investigator Harold Benny,"Storms, tornadoes, and torrential rains hampered us somewhat. I talked with the witness a few hours after his sighting and several times afterwards. He did an excellent job of describing what happened.   The seven plus foot tall bipedal figure was attempting to hide behind a tree but portions of it's body were protruding out from behind the tree on both sides. The ""peek-a-boo"" behavior often seen with bigfoot was a giveaway to it's presence and identity. We were unsuccessful a few nights later when we watched the general area with a camera. ",15,,,,,,
Report,24975,Class B,"Saturday, November 1, 2008.",Family experiences large rocks being thrown and hear an unknown scream outside the Shawnee National Forest,2008,Fall,October,Illinois,Hardin,,"Elizabethtown or Iron Furnace, IL","Small country roads, I cannot say off hand.","My in-laws own a couple hundred of acres that butt up against the Shawnee National Forest in Southern Illinois. There were about 12-15 of us gathered around the fire pit chatting around 9pm, it was completely dark at this time. My wife's uncle, myself and her cousin were helping set up a telescope to see the sky. As we were doing so we heard a large object in the woods near by, about 50 yards away. We were on alert because there had been a 280 lb mountain lion shot in the area just weeks before our visit to the family property.","They were good sized rocks, not the size a person could throw 30+ yards or so.....the distance from the fire pit to the location from where were setting up the telescope.","Two other witnesses, but I said nothing to them about it being what is described as ""typical"" bigfoot or ape behavior.",I've read 1-2 more reports in the area on this site.,9 p.m. -1 a.m.,"Thick forest, oak Trees, lots of creeks, deer, coverage. No major landmarks I can think of.",Follow-up investigation report by BFRO Investigator Stan Courtney,I spoke with the witness by phone. Unknown sounds in the night alone are not conclusive evidence. However the rock throwing incident along with the unknown scream does seem to indicate that this could have been sasquatch activity.,21,,,,,,
Report,3018,Class B,"Saturday, August 18, 2001.",Late night screams heard near Rosiclare,2001,Summer,August,Illinois,Hardin,approx. 2 miles east of Rt.34 in the Shawnee National Forest.,Rosiclare,State Rt. 34,"I was in So. Illinois visiting my Grandmother and sister on my Grandmothers farm located in the Shawnee Nat. Forest.  I grew up on this property and lived there for about 23 years.  While living in this area I have heard and seen a vast assortment of wild animals.  The National Forest Service has released many different animals into the Shawnee National which has given me a good opportunity to hear, see, and also track different wild animals.",The only thing that I noticed that seemed to be odd on this night was how quiet and dark it was outside.,There were four witnesses involved.  The witnesses were talking inside a house before coming outside onto the porch which is when the sound started.,"No, I have not heard of any other such occurances in this area.","Approx. 2130, Temp was approx.80 deg. A considerably mild night for Aug.with low humidity. Fairly quiet outside with occasional sounds of hooting owls. It was a very dark night with little to no moon light.",The terrain was mainly forest of mostly hardwoods and some pines that are on a spread of government land that border the suspected area.  There is also cow pastures that do not have cattle on them at the present time. There are numerous small creeks that run through the area.  The area is also somewhat hilly.  The sound seemed to come very close to the pine forest.,,,16,,,,,,
Report,43619,Class A,"Monday, January 6, 2014.",Motorist has twilight sighting south of Oquawka,2012,Spring,May,Illinois,Henderson,On a secondary road at a creek crossing.,Oquawka,Route 164,I seen a big harry figure standing in the shallow creek. I was in my truck as I approached this creature. I shut my truck off and watched this thing. I then heard a loud deep roar from the other side of the creek. When I looked to where that sound came from I couldnt see anything. I turned back to where I had seen the creature and it was gone.,,"No witnesses, just myself. I like driving around and looking at wildlife.",I personally seen a figure while turkey hunting a few years back. I reported it also. It is in the database.,Evening right at last light beautiful weather.,Creek crossing at the time it was a rarely traveled road. It is in heavy wooded area with bluffs all around it.,Follow-up investigation report by BFRO Investigator Stan Courtney,"I spoke with the witness by phone. In Summary:- The witness estimated the animal's height at 7 feet. - The animal's weight as over 400 lbs.- The animal was very muscular.- The hair was dark brown in coloring.- The witness was unable to see the face.  - The witness was 65 yards from the animal. The witness had previously submitted another report, see: Report # 23949.",12,,,,,,
Report,23949,Class A,"Thursday, June 5, 2008.",Turkey hunter has early morning sighting near Rozetta,2008,Spring,May,Illinois,Henderson,,Rozetta,IL 94,I was turkey hunting this spring. It was just breaking daylight and I heard some breaking branches. I was looking the way the branches were being broke and I seen a large figure heading down the draw. I watched it as far as I could and it finally just vanished into the woods. I have hunted these woods for 20 years and never seen anything like it. It was around 7 or 8 feet tall and it looked like it had a hunch back. The light was just wrong but it looked like it was hairy and had long arms.,,none,no,"Early morning,  low light,  kinda cool that morning","Heavy forest, hilly.",Follow-up investigation report by BFRO Investigator Stan Courtney,I spoke with the witness by phone. The following details can be added to the report:- The witnesses stated that the animal was very muscular. - The animal appeared to weigh 300 to 400 lbs.- The hair was black in color with some reddish highlights.- The witness was 100 yards from the animal.- The witness was unable to see the face.,,,,,,,
Report,4099,Class A,"Monday, April 8, 2002.",Daytime sighting by two arrowhead hunters near Gulfport,1985,Fall,September,Illinois,Henderson,I've been back over there several times and can't find it. But my friend said she was over there recently and want's to take me back there.,Gulfport,US 61,"My friend and I were out arrowhead hunting. It was late September 1985. We were driving looking for a good spot when I spotted a ridge that was a wash out. I told her to pull over and hunt there because it was off the beaten path. I climbed to the top and spied a cornfield. So we proceeded to hunt the field. The corn stalks were small that year and you could see the whole area. In the fence row was what I thought was a black tree that was topped off.   But, I kept getting the feeling I was being watched. At closer observation of the object it was like it was grinning at me. This was in the space of a half an hour. I looked around for my friend and she was nowhere to be found. So I beat it back to her car. She was right behind me. She said, ""Did you see that?"" And I said half jokingly, ""what Bigfoot?""",,Two,,2:00pm warm and sunny,"Cornfield, with woods back behind where we saw it.",Follow-up investigation report by BFRO Investigator Stan Courtney,"I spoke with both witnesses by phone.  Since they were separated while hunting arrowheads they saw the animal from different angles.   The animal was massive in size, over six feet tall and very hairy.  No facial details were visible. Because the animal did not move during the brief sighting,  the witnesses were not able to give any details as to its movement.",26th,,,,,,
